,COEFF,QUARTER,REFYEAR,REFWEEK,COUNTRY,DEGURBA,HHTYPE,HHINST,INTWAVE,INTQUEST,REM,YEAR,HHPRIV,SEX,AGE,NATIONAL,YEARESID,COUNTRYB,PROXY,NOWKREAS,STAPRO,SIGNISAL,COUNTRYW,YSTARTWK,MSTARTWK,FTPT,TEMP,TEMPDUR,HWUSUAL,HWACTUAL,HWOVERP,HWOVERPU,HOURREAS,WISHMORE,HWWISH,LOOKOJ,EXIST2J,STAPRO2J,HWACTUA2,EXISTPR,YEARPR,MONTHPR,STAPROPR,SEEKWORK,SEEKTYPE,SEEKDUR,METHODA,METHODB,METHODC,METHODD,METHODE,METHODF,METHODG,METHODH,METHODI,METHODJ,METHODK,METHODL,METHODM,WANTWORK,AVAILBLE,EDUCSTAT,EDUCLEVL,COURATT,COURLEN,ILOSTAT,DURUNE,EDUC4WN,HATLEV1D,STARTIME,LEAVCLAS,NACE1D,NACE2J1D,NACEPR1D,HATVOC,EDUCVOC,nace2j1d_g,nacepr1d_g
2557,0.1256024097,_A,2004,25,DK,3.0,1,9,1.0,2,6,2004,1,1,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,99.0,9.0,9.0,9.0,99.0,1.0,2003.0,2,0.0,4,3.0,2.0,1,0,1,0,0,1,0,0,0,0,0,0,0,9.0,1,2.0,9.0,2.0,999.0,2.0,2.0,0.0,M,999.0,5.0,9.0,9.0,,9,9,9.0,
2565,0.07581811,_A,2004,21,DK,0.0,1,9,2.0,2,5,2004,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,99.0,9.0,9.0,9.0,99.0,1.0,2004.0,2,5.0,4,4.0,1.0,0,0,1,1,0,1,0,0,0,0,0,0,0,9.0,1,2.0,9.0,2.0,999.0,2.0,1.0,0.0,M,999.0,3.0,9.0,9.0,,9,9,9.0,
2626,0.0783415068,_A,2004,16,DK,3.0,1,9,1.0,2,4,2004,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,99.0,9.0,9.0,9.0,99.0,1.0,2001.0,99,5.0,4,3.0,3.0,1,0,1,1,1,1,0,0,0,0,0,0,0,9.0,1,2.0,9.0,2.0,999.0,2.0,3.0,0.0,M,999.0,7.0,9.0,9.0,,9,9,9.0,
2634,0.117421377,_A,2004,15,DK,3.0,1,9,2.0,2,4,2004,1,2,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,99.0,9.0,9.0,9.0,99.0,1.0,2003.0,5,5.0,4,3.0,2.0,0,0,0,0,1,1,0,0,0,0,0,0,0,9.0,1,2.0,9.0,2.0,999.0,2.0,2.0,0.0,L,999.0,4.0,9.0,9.0,,9,9,9.0,
2664,0.1009417986,_A,2004,21,DK,0.0,1,9,1.0,2,5,2004,1,2,32.0,NO ANSWER,,NO ANSWER,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,99.0,9.0,9.0,9.0,99.0,1.0,2003.0,12,5.0,4,4.0,2.0,1,0,0,0,1,1,0,0,0,0,0,0,0,9.0,2,2.0,9.0,2.0,999.0,3.0,9.0,0.0,L,999.0,3.0,9.0,9.0,,9,9,9.0,
2666,0.0629533973,_A,2004,16,DK,0.0,1,9,1.0,2,4,2004,1,2,65.0,NO ANSWER,,NO ANSWER,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,99.0,9.0,9.0,9.0,99.0,1.0,2003.0,5,0.0,4,2.0,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,9.0,1,2.0,9.0,1.0,37.0,2.0,2.0,1.0,H,999.0,4.0,9.0,9.0,,9,9,9.0,
2690,0.121763343,_A,2004,16,DK,3.0,1,9,3.0,2,4,2004,1,1,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,99.0,9.0,9.0,9.0,99.0,1.0,2002.0,6,5.0,4,3.0,1.0,1,0,1,0,0,1,0,0,0,0,0,0,0,9.0,1,2.0,9.0,1.0,37.0,2.0,1.0,1.0,M,999.0,6.0,9.0,9.0,,9,9,9.0,
2693,0.1036781224,_A,2004,18,DK,0.0,1,9,1.0,2,4,2004,1,2,47.0,NO ANSWER,,NO ANSWER,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,99.0,9.0,9.0,9.0,99.0,1.0,2003.0,10,5.0,4,2.0,2.0,1,0,0,1,1,1,0,0,0,1,0,0,0,9.0,1,2.0,9.0,2.0,999.0,2.0,2.0,0.0,M,999.0,4.0,9.0,9.0,,9,9,9.0,
2698,0.0575162584,_A,2004,23,DK,0.0,1,9,1.0,2,6,2004,1,1,65.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,99.0,9.0,9.0,9.0,99.0,1.0,2002.0,11,5.0,4,2.0,3.0,1,0,1,1,1,1,0,0,0,1,0,0,0,9.0,1,2.0,9.0,2.0,999.0,2.0,3.0,0.0,H,999.0,6.0,9.0,9.0,,9,9,9.0,
2716,0.3935273516,_A,2004,24,DK,3.0,1,9,3.0,2,6,2004,1,2,65.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,1994.0,99.0,1.0,1.0,9.0,43.0,42.0,,,7.0,,37.0,1.0,1.0,9.0,99.0,9.0,9999.0,99,9.0,9,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,2,2.0,9.0,2.0,999.0,1.0,9.0,0.0,M,120.0,,,9.0,9.0,9,9,9.0,9.0
2717,0.1151890071,_A,2004,18,DK,0.0,1,9,3.0,2,4,2004,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2004.0,1.0,2.0,2.0,3.0,30.0,30.0,,,97.0,1.0,30.0,1.0,1.0,9.0,99.0,9.0,9999.0,99,9.0,9,2.0,1.0,1,0,0,1,1,1,0,0,0,0,0,0,0,9.0,2,2.0,9.0,1.0,10.0,1.0,9.0,1.0,M,3.0,,,9.0,9.0,9,9,9.0,9.0
2720,0.4585479216,_A,2004,19,DK,0.0,1,9,1.0,2,5,2004,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2001.0,99.0,1.0,1.0,9.0,42.0,42.0,,,97.0,,42.0,1.0,1.0,9.0,99.0,9.0,9999.0,99,9.0,9,2.0,1.0,0,0,0,0,1,1,0,0,0,0,0,0,0,9.0,2,2.0,9.0,2.0,999.0,1.0,9.0,0.0,H,36.0,,,9.0,9.0,9,9,9.0,9.0
2723,0.0789162959,_A,2004,24,DK,0.0,1,9,3.0,2,6,2004,1,2,65.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2004.0,5.0,2.0,2.0,3.0,30.0,26.0,,,7.0,1.0,30.0,1.0,1.0,9.0,99.0,9.0,9999.0,99,9.0,9,4.0,3.0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.0,2,2.0,9.0,2.0,999.0,1.0,9.0,0.0,H,1.0,,,9.0,9.0,9,9,9.0,9.0
2737,0.0583898988,_A,2004,18,DK,0.0,1,9,2.0,2,4,2004,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2002.0,8.0,1.0,1.0,9.0,45.0,45.0,,,97.0,,37.0,1.0,2.0,5.0,4.0,9.0,9999.0,99,9.0,9,2.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,2,2.0,9.0,1.0,12.0,1.0,9.0,1.0,H,20.0,,,,9.0,9,9,,9.0
2739,0.5163653089,_A,2004,15,DK,0.0,1,9,1.0,2,4,2004,1,1,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,99.0,9.0,9.0,9.0,99.0,0.0,9999.0,99,9.0,4,2.0,1.0,0,0,1,1,1,1,0,0,0,1,0,0,0,9.0,1,2.0,9.0,2.0,999.0,2.0,1.0,0.0,H,999.0,,9.0,9.0,9.0,9,9,9.0,9.0
2743,0.1037432578,_A,2004,18,DK,0.0,1,9,3.0,2,4,2004,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,99.0,9.0,9.0,9.0,99.0,1.0,2003.0,10,5.0,4,3.0,2.0,1,0,1,1,0,1,0,0,0,1,0,0,0,9.0,1,2.0,9.0,2.0,999.0,2.0,2.0,0.0,L,999.0,4.0,9.0,9.0,,9,9,9.0,
2750,0.1062008626,_A,2004,15,DK,3.0,1,9,2.0,2,4,2004,1,1,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,7,5.0,4,000-OWN COUNTRY,1998.0,99.0,1.0,1.0,9.0,37.0,0.0,,,99.0,1.0,37.0,1.0,1.0,9.0,99.0,9.0,9999.0,99,9.0,9,2.0,1.0,0,0,0,0,1,1,0,0,0,0,0,0,0,9.0,2,2.0,9.0,2.0,999.0,1.0,9.0,0.0,H,72.0,,,9.0,9.0,9,9,9.0,9.0
2768,0.4764806138,_A,2004,16,DK,3.0,1,9,1.0,2,4,2004,1,2,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,99.0,9.0,9.0,9.0,99.0,1.0,2004.0,3,5.0,4,3.0,1.0,1,0,1,1,1,1,0,0,0,0,0,0,0,9.0,1,2.0,9.0,2.0,999.0,2.0,1.0,0.0,M,999.0,2.0,9.0,9.0,,9,9,9.0,
2786,0.0682288931,_A,2004,19,DK,0.0,1,9,2.0,2,5,2004,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2004.0,1.0,2.0,2.0,3.0,30.0,30.0,,,97.0,1.0,37.0,1.0,1.0,9.0,99.0,9.0,9999.0,99,9.0,9,3.0,3.0,1,0,1,0,1,1,0,0,0,0,0,0,0,9.0,2,2.0,9.0,1.0,16.0,1.0,9.0,1.0,H,4.0,,,9.0,9.0,9,9,9.0,9.0
2803,0.1512546725,_A,2004,23,DK,0.0,1,9,2.0,2,6,2004,1,1,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,99.0,9.0,9.0,9.0,99.0,1.0,2003.0,11,5.0,4,2.0,1.0,0,0,1,1,1,1,0,0,0,0,0,0,0,9.0,1,2.0,9.0,2.0,999.0,2.0,1.0,0.0,M,999.0,4.0,9.0,9.0,,9,9,9.0,
2809,0.1125226966,_A,2004,15,DK,0.0,1,9,1.0,2,4,2004,1,1,32.0,NO ANSWER,,NO ANSWER,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,99.0,9.0,9.0,9.0,99.0,0.0,9999.0,99,9.0,4,3.0,1.0,0,0,1,1,0,1,0,0,0,0,0,0,0,9.0,1,2.0,9.0,2.0,999.0,2.0,1.0,0.0,M,999.0,,9.0,9.0,9.0,9,9,9.0,9.0
2836,0.0917247009,_A,2004,18,DK,0.0,1,9,1.0,2,4,2004,1,2,65.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2003.0,2.0,2.0,1.0,9.0,29.0,29.0,,,97.0,1.0,37.0,1.0,1.0,9.0,99.0,9.0,9999.0,99,9.0,9,2.0,3.0,1,0,1,1,0,1,0,0,0,0,0,0,0,9.0,2,2.0,9.0,2.0,999.0,1.0,9.0,0.0,M,14.0,,,9.0,9.0,9,9,9.0,9.0
2839,0.5553544807,_A,2004,19,DK,0.0,1,9,2.0,2,5,2004,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,99.0,9.0,9.0,9.0,99.0,1.0,2000.0,99,5.0,4,4.0,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.0,1,2.0,9.0,2.0,999.0,2.0,2.0,0.0,H,999.0,8.0,9.0,9.0,,9,9,9.0,
2849,0.0796928062,_A,2004,17,DK,3.0,1,9,1.0,2,4,2004,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,99.0,9.0,9.0,9.0,99.0,1.0,2004.0,1,5.0,4,3.0,1.0,1,0,0,0,1,1,1,0,0,0,0,0,1,9.0,1,2.0,9.0,1.0,60.0,2.0,1.0,1.0,M,999.0,3.0,9.0,9.0,,9,9,9.0,
2862,0.4148248862,_A,2004,22,DK,3.0,1,9,2.0,2,5,2004,1,1,65.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,99.0,9.0,9.0,9.0,99.0,1.0,2003.0,12,5.0,4,2.0,1.0,1,0,1,1,0,1,0,0,0,0,0,0,0,9.0,1,2.0,9.0,2.0,999.0,2.0,1.0,0.0,L,999.0,3.0,9.0,9.0,,9,9,9.0,
2884,0.1466331225,_A,2004,22,DK,0.0,1,9,3.0,2,5,2004,1,1,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2004.0,4.0,1.0,1.0,9.0,37.0,37.0,,,97.0,1.0,30.0,1.0,1.0,9.0,99.0,9.0,9999.0,99,9.0,9,2.0,3.0,0,0,1,1,0,1,0,0,0,1,1,0,0,9.0,2,2.0,9.0,1.0,6.0,1.0,9.0,1.0,M,1.0,,,9.0,9.0,9,9,9.0,9.0
2885,0.5330664972,_A,2004,20,DK,0.0,1,9,3.0,2,5,2004,1,2,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,99.0,9.0,9.0,9.0,99.0,0.0,9999.0,99,9.0,4,3.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.0,2,1.0,5.0,2.0,999.0,3.0,9.0,1.0,M,999.0,,9.0,9.0,9.0,9,9,9.0,9.0
2898,0.1169012859,_A,2004,16,DK,3.0,1,9,2.0,2,4,2004,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,99.0,9.0,9.0,9.0,99.0,1.0,1999.0,99,5.0,4,3.0,2.0,1,0,1,0,1,1,0,0,0,1,0,0,0,9.0,1,2.0,9.0,1.0,35.0,2.0,2.0,1.0,M,999.0,8.0,9.0,9.0,,9,9,9.0,
2904,0.3768903382,_A,2004,24,DK,3.0,1,9,3.0,2,6,2004,1,2,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,99.0,9.0,9.0,9.0,99.0,1.0,2004.0,3,5.0,4,3.0,1.0,1,0,1,1,1,1,0,0,0,0,0,0,0,9.0,2,2.0,9.0,2.0,999.0,3.0,9.0,0.0,M,999.0,3.0,9.0,9.0,,9,9,9.0,
2909,0.3758049864,_A,2004,14,DK,0.0,1,9,3.0,2,4,2004,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,5,5.0,9,000-OWN COUNTRY,2000.0,99.0,1.0,1.0,9.0,37.0,0.0,,,99.0,1.0,37.0,1.0,1.0,9.0,99.0,9.0,9999.0,99,9.0,9,2.0,1.0,0,0,0,1,1,1,0,0,0,0,0,0,0,9.0,2,2.0,9.0,2.0,999.0,1.0,9.0,0.0,H,48.0,,,9.0,9.0,9,9,9.0,9.0
2915,0.4400481443,_A,2004,17,DK,3.0,1,9,3.0,2,4,2004,1,1,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,7,5.0,4,000-OWN COUNTRY,1997.0,99.0,1.0,1.0,9.0,39.0,0.0,,,99.0,1.0,37.0,1.0,1.0,9.0,99.0,9.0,9999.0,99,9.0,9,3.0,1.0,0,0,0,0,1,1,0,0,0,0,0,0,0,9.0,2,2.0,9.0,2.0,999.0,1.0,9.0,0.0,M,84.0,,,9.0,9.0,9,9,9.0,9.0
2924,0.1291764323,_A,2004,26,DK,3.0,1,9,2.0,2,6,2004,1,1,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,99.0,9.0,9.0,9.0,99.0,1.0,2004.0,6,5.0,4,3.0,3.0,1,0,0,1,1,1,0,0,0,1,0,0,0,9.0,1,2.0,9.0,2.0,999.0,2.0,1.0,0.0,M,999.0,1.0,9.0,9.0,,9,9,9.0,
2929,0.4972836066,_A,2004,18,DK,0.0,1,9,2.0,2,4,2004,1,2,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,99.0,9.0,9.0,9.0,99.0,1.0,2003.0,12,5.0,4,3.0,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,9.0,1,2.0,9.0,2.0,999.0,2.0,1.0,0.0,M,999.0,3.0,9.0,9.0,,9,9,9.0,
2941,0.657903388,_A,2004,26,DK,0.0,1,9,3.0,2,6,2004,1,1,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,99.0,9.0,9.0,9.0,99.0,1.0,2002.0,8,5.0,4,3.0,1.0,0,0,1,0,1,1,0,0,0,1,0,0,0,9.0,1,2.0,9.0,1.0,100.0,2.0,1.0,1.0,,999.0,6.0,9.0,9.0,,9,9,9.0,
2943,0.0870035333,_A,2004,16,DK,3.0,1,9,1.0,2,4,2004,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,99.0,9.0,9.0,9.0,99.0,1.0,2003.0,11,5.0,4,3.0,1.0,1,0,1,0,1,1,0,0,0,0,0,0,0,9.0,1,2.0,9.0,2.0,999.0,2.0,1.0,0.0,M,999.0,3.0,9.0,9.0,,9,9,9.0,
2945,0.5282221243,_A,2004,25,DK,0.0,1,9,2.0,2,6,2004,1,2,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,99.0,9.0,9.0,9.0,99.0,1.0,2003.0,12,5.0,4,4.0,1.0,0,0,0,0,1,1,0,0,0,1,0,0,0,9.0,1,2.0,9.0,2.0,999.0,2.0,1.0,0.0,L,999.0,4.0,9.0,9.0,,9,9,9.0,
2949,0.4545407171,_A,2004,23,DK,0.0,1,9,2.0,2,6,2004,1,1,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,99.0,9.0,9.0,9.0,99.0,1.0,2003.0,12,5.0,4,3.0,3.0,0,0,1,1,1,1,0,0,0,0,0,0,0,9.0,1,2.0,9.0,2.0,999.0,2.0,2.0,0.0,H,999.0,4.0,9.0,9.0,,9,9,9.0,
2955,0.0740350404,_A,2004,16,DK,3.0,1,9,3.0,2,4,2004,1,1,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,99.0,9.0,9.0,9.0,99.0,0.0,9999.0,99,9.0,4,3.0,3.0,1,0,1,0,1,1,0,0,0,0,0,0,0,9.0,1,2.0,9.0,1.0,12.0,2.0,3.0,1.0,H,999.0,,9.0,9.0,9.0,9,9,9.0,9.0
2963,0.0739897224,_A,2004,22,DK,3.0,1,9,1.0,2,5,2004,1,2,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,99.0,9.0,9.0,9.0,99.0,1.0,2002.0,9,5.0,4,3.0,3.0,1,0,1,1,1,1,0,0,0,0,0,0,0,9.0,1,2.0,9.0,1.0,6.0,2.0,3.0,1.0,H,999.0,6.0,9.0,9.0,,9,9,9.0,
2967,0.1067699744,_A,2004,20,DK,0.0,1,9,2.0,2,5,2004,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,99.0,9.0,9.0,9.0,99.0,1.0,2000.0,99,5.0,4,2.0,2.0,1,0,1,1,0,0,0,0,0,0,0,0,0,9.0,1,2.0,9.0,1.0,74.0,2.0,2.0,1.0,H,999.0,8.0,9.0,9.0,,9,9,9.0,
2978,0.7279257572,_A,2004,24,DK,0.0,1,9,1.0,2,6,2004,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,99.0,9.0,9.0,9.0,99.0,1.0,2004.0,2,5.0,4,2.0,1.0,1,0,1,1,0,0,0,0,0,0,0,0,0,9.0,1,2.0,9.0,2.0,999.0,2.0,1.0,0.0,M,999.0,3.0,9.0,9.0,,9,9,9.0,
2999,0.5699998552,_A,2004,17,DK,3.0,1,9,3.0,2,4,2004,1,1,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2002.0,8.0,2.0,2.0,8.0,6.0,6.0,,,97.0,1.0,37.0,1.0,1.0,9.0,99.0,9.0,9999.0,99,9.0,9,,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.0,2,1.0,3.0,2.0,999.0,1.0,9.0,1.0,L,20.0,,,9.0,9.0,9,9,9.0,9.0
3004,0.5929269552,_A,2004,25,DK,0.0,1,9,3.0,2,6,2004,1,1,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,3,5.0,4,000-OWN COUNTRY,2003.0,7.0,2.0,1.0,9.0,16.0,0.0,,,99.0,1.0,37.0,1.0,1.0,9.0,99.0,9.0,9999.0,99,9.0,9,,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,2,2.0,9.0,1.0,4.0,1.0,9.0,1.0,M,11.0,,,9.0,9.0,9,9,9.0,9.0
3006,0.0898429808,_A,2004,21,DK,3.0,1,9,2.0,2,5,2004,1,2,65.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,99.0,9.0,9.0,9.0,99.0,1.0,1992.0,99,9.0,4,2.0,3.0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.0,1,2.0,9.0,2.0,999.0,2.0,3.0,0.0,M,999.0,8.0,9.0,9.0,9.0,9,9,9.0,9.0
3016,0.1022676335,_A,2004,26,DK,0.0,1,9,1.0,2,6,2004,1,2,32.0,NO ANSWER,,NO ANSWER,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,99.0,9.0,9.0,9.0,99.0,1.0,2003.0,11,5.0,4,2.0,2.0,0,0,0,1,0,1,0,0,0,0,0,0,0,9.0,2,2.0,9.0,2.0,999.0,3.0,9.0,0.0,L,999.0,4.0,9.0,9.0,,9,9,9.0,
3033,0.4960935148,_A,2004,20,DK,3.0,1,9,3.0,2,5,2004,1,1,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,99.0,9.0,9.0,9.0,99.0,1.0,2004.0,2,5.0,4,3.0,1.0,1,0,1,1,0,1,0,0,0,0,0,0,0,9.0,1,2.0,9.0,1.0,100.0,2.0,1.0,1.0,L,999.0,3.0,9.0,9.0,,9,9,9.0,
3053,0.3180170576,_A,2004,26,DK,0.0,1,9,1.0,2,6,2004,1,2,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,7,5.0,4,000-OWN COUNTRY,2000.0,99.0,1.0,1.0,9.0,37.0,0.0,,,99.0,1.0,37.0,1.0,1.0,9.0,99.0,9.0,9999.0,99,9.0,9,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,2,2.0,9.0,2.0,999.0,1.0,9.0,0.0,H,48.0,,,9.0,9.0,9,9,9.0,9.0
3059,0.0785900348,_A,2004,17,DK,0.0,1,9,1.0,2,4,2004,1,2,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,1994.0,99.0,2.0,2.0,4.0,15.0,15.0,,,97.0,1.0,37.0,1.0,1.0,9.0,99.0,9.0,9999.0,99,9.0,9,3.0,3.0,1,0,0,0,1,1,0,0,0,0,0,0,0,9.0,2,2.0,9.0,1.0,24.0,1.0,9.0,1.0,H,120.0,,,9.0,9.0,9,9,9.0,9.0
3076,0.0726717659,_A,2004,21,DK,3.0,1,9,2.0,2,5,2004,1,2,65.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2003.0,12.0,1.0,2.0,3.0,35.0,28.0,,,12.0,1.0,30.0,1.0,1.0,9.0,99.0,9.0,9999.0,99,9.0,9,2.0,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,9.0,2,2.0,9.0,2.0,999.0,1.0,9.0,0.0,H,5.0,,,9.0,9.0,9,9,9.0,9.0
