,COEFF,QUARTER,REFYEAR,REFWEEK,INTWEEK,COUNTRY,DEGURBA,HHTYPE,HHINST,INTWAVE,INTQUEST,REM,YEAR,HHPRIV,SEX,AGE,NATIONAL,YEARESID,COUNTRYB,PROXY,NOWKREAS,STAPRO,SIGNISAL,COUNTRYW,YSTARTWK,MSTARTWK,FTPT,TEMP,TEMPDUR,HWUSUAL,HWACTUAL,HWOVERP,HWOVERPU,HOURREAS,WISHMORE,HWWISH,LOOKOJ,EXIST2J,STAPRO2J,HWACTUA2,EXISTPR,YEARPR,MONTHPR,STAPROPR,SEEKWORK,SEEKTYPE,SEEKDUR,METHODA,METHODB,METHODC,METHODD,METHODE,METHODF,METHODG,METHODH,METHODI,METHODJ,METHODK,METHODL,WANTWORK,AVAILBLE,EDUCSTAT,EDUCLEVL,COURATT,COURLEN,ILOSTAT,DURUNE,EDUC4WN,HATLEV1D,STARTIME,LEAVCLAS,NACE1D,NACE2J1D,NACEPR1D,HHNBPERS,HATVOC,EDUCVOC,nace2j1d_g,nacepr1d_g
8486,0.3415936551,_A,2004,24,26,ES,3.0,1,9,5,2,6,2004,1,1,65.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2001,99.0,5.0,4,2.0,3.0,0,0,0,0,0,0,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,3,9.0,0,L,999,7.0,9.0,9.0,,01,9,9,9.0,
8493,0.1653082696,_A,2004,18,19,ES,0.0,1,9,2,2,4,2004,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2003,9.0,5.0,4,3.0,2.0,1,0,0,0,0,0,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,2,2.0,0,M,999,4.0,9.0,9.0,,05,9,9,9.0,
8531,0.1867113462,_A,2004,26,27,ES,0.0,1,9,5,2,6,2004,1,1,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2004,5.0,5.0,4,6.0,1.0,1,0,1,1,0,0,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,2,1.0,0,L,999,2.0,9.0,9.0,,03,9,9,9.0,
8564,0.2304967865,_A,2004,23,24,ES,3.0,1,9,3,2,6,2004,1,2,65.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2003,2.0,5.0,4,5.0,3.0,0,0,0,0,0,0,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,3,9.0,0,L,999,5.0,9.0,9.0,,03,9,9,9.0,
8565,0.1217093167,_A,2004,22,23,ES,3.0,1,9,3,2,5,2004,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2001,99.0,5.0,4,6.0,3.0,0,0,1,0,0,0,0,0,0,0,1.0,0,9.0,1,2,9.0,1.0,,2,3.0,1,L,999,7.0,9.0,9.0,,04,9,9,9.0,
8577,0.1584661299,_A,2004,16,17,ES,0.0,1,9,1,2,4,2004,1,2,65.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,1999,99.0,5.0,4,6.0,3.0,0,0,0,0,0,0,0,0,0,0,0.0,0,9.0,1,2,9.0,1.0,,3,9.0,1,M,999,8.0,9.0,9.0,,02,9,9,9.0,
8586,0.218835003,_A,2004,22,23,ES,3.0,1,9,6,2,5,2004,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2003,12.0,0.0,4,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,3,9.0,0,L,999,3.0,9.0,9.0,,04,9,9,9.0,
8596,0.2001260491,_A,2004,26,27,ES,0.0,1,9,2,2,6,2004,1,1,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2003,9.0,5.0,4,6.0,2.0,0,0,0,0,0,0,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,3,9.0,0,H,999,4.0,9.0,9.0,,03,9,9,9.0,
8621,0.3224924318,_A,2004,19,20,ES,0.0,1,9,3,2,5,2004,1,1,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2003,7.0,5.0,4,6.0,2.0,1,0,1,1,0,0,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,2,2.0,0,M,999,4.0,9.0,9.0,,04,9,9,9.0,
8638,0.4632564921,_A,2004,14,15,ES,0.0,1,9,3,2,4,2004,1,1,65.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,5.0,9,000-OWN COUNTRY,2004,4.0,2,2,1.0,10,10,,,97,1.0,40.0,1,1,9.0,99,9,9999,99.0,9.0,9,3.0,3.0,0,0,1,1,0,0,0,0,0,1,0.0,0,9.0,1,2,9.0,2.0,999.0,1,9.0,0,L,0,,,9.0,9.0,04,9,9,9.0,9.0
8652,0.2785611759,_A,2004,25,26,ES,0.0,1,9,2,2,6,2004,1,1,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,0,9999,99.0,9.0,4,2.0,1.0,0,0,1,1,0,0,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,2,1.0,0,H,999,,9.0,9.0,9.0,6+,9,9,9.0,9.0
8670,0.2045317448,_A,2004,20,21,ES,0.0,1,9,6,2,5,2004,1,2,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,5.0,9,000-OWN COUNTRY,2004,5.0,2,2,3.0,6,6,,,97,1.0,40.0,1,1,9.0,99,9,9999,99.0,9.0,9,3.0,1.0,1,0,0,0,0,1,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,1,9.0,0,L,0,,,9.0,9.0,04,9,9,9.0,9.0
8680,0.5939086256,_A,2004,25,26,ES,3.0,1,9,1,2,6,2004,1,1,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,5.0,9,000-OWN COUNTRY,2004,6.0,1,2,,40,40,,,97,,40.0,1,1,9.0,99,9,9999,99.0,9.0,9,6.0,3.0,0,0,0,1,0,0,0,0,0,0,0.0,0,9.0,9,2,9.0,2.0,999.0,1,9.0,0,L,0,,,9.0,9.0,04,9,9,9.0,9.0
8696,0.1353008861,_A,2004,14,15,ES,0.0,1,9,6,2,4,2004,1,1,65.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2003,1.0,5.0,4,2.0,3.0,1,0,0,0,0,0,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,2,3.0,0,L,999,5.0,9.0,9.0,,02,9,9,9.0,
8701,0.0781689416,_A,2004,18,19,ES,0.0,1,9,5,2,4,2004,1,1,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,1987,99.0,9.0,4,6.0,3.0,0,0,0,0,0,0,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,3,9.0,0,L,999,8.0,9.0,9.0,9.0,03,9,9,9.0,9.0
8726,0.1214450793,_A,2004,25,26,ES,0.0,1,9,4,2,6,2004,1,1,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2003,4.0,5.0,4,6.0,3.0,1,1,0,1,0,0,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,2,3.0,0,L,999,5.0,9.0,9.0,,02,9,9,9.0,
8732,0.2063380684,_A,2004,14,15,ES,3.0,1,9,5,2,4,2004,1,2,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,0,9999,99.0,9.0,4,5.0,1.0,0,0,0,0,1,0,0,0,0,0,0.0,0,9.0,1,1,1.0,2.0,999.0,2,1.0,1,L,999,,9.0,9.0,9.0,6+,9,9,9.0,9.0
8740,0.1798632523,_A,2004,20,21,ES,3.0,1,9,4,2,5,2004,1,2,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,0,9999,99.0,9.0,4,3.0,3.0,1,0,0,1,0,1,0,0,0,0,0.0,0,9.0,1,2,9.0,1.0,,2,3.0,1,H,999,,9.0,9.0,9.0,03,9,9,9.0,9.0
8749,0.8806367623,_A,2004,18,19,ES,0.0,1,9,6,2,4,2004,1,2,32.0,NO ANSWER,,NO ANSWER,2.0,99,5.0,9,000-OWN COUNTRY,2003,12.0,2,2,,25,25,,,97,0.0,25.0,1,1,9.0,99,9,9999,99.0,9.0,9,6.0,2.0,0,0,1,1,0,0,0,0,0,0,0.0,0,9.0,9,2,9.0,2.0,999.0,1,9.0,0,M,4,,,9.0,9.0,02,9,9,9.0,9.0
8755,0.0900724016,_A,2004,26,27,ES,0.0,1,9,5,2,6,2004,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2003,8.0,0.0,4,6.0,2.0,1,0,0,0,0,0,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,2,2.0,0,H,999,4.0,9.0,9.0,,03,9,9,9.0,
8763,0.4661906383,_A,2004,19,20,ES,0.0,1,9,1,2,5,2004,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2004,3.0,5.0,4,6.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,3,9.0,0,H,999,2.0,9.0,9.0,,04,9,9,9.0,
8768,0.2217346361,_A,2004,20,21,ES,3.0,1,9,6,2,5,2004,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,5.0,9,000-OWN COUNTRY,2004,3.0,1,2,,37,37,,,97,0.0,37.0,1,1,9.0,99,9,9999,99.0,9.0,9,2.0,2.0,0,0,0,0,0,0,0,0,0,0,0.0,0,9.0,9,2,9.0,1.0,,1,9.0,1,H,2,,,9.0,9.0,03,9,9,9.0,9.0
8794,0.3144867263,_A,2004,15,16,ES,0.0,1,9,4,2,4,2004,1,1,20.0,005-EU28,5.0,005-EU28,1.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2004,2.0,5.0,4,2.0,1.0,0,0,1,0,0,0,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,2,1.0,0,M,999,2.0,9.0,9.0,,05,9,9,9.0,
8800,0.1303177781,_A,2004,18,19,ES,0.0,1,9,6,2,4,2004,1,2,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,5.0,9,000-OWN COUNTRY,2002,7.0,2,2,,20,20,,,97,1.0,40.0,1,1,9.0,99,9,9999,99.0,9.0,9,2.0,3.0,0,0,0,1,0,1,0,0,0,0,0.0,0,9.0,1,2,9.0,1.0,,1,9.0,1,H,21,,,9.0,9.0,04,9,9,9.0,9.0
8836,0.0676618096,_A,2004,15,16,ES,3.0,1,9,1,2,4,2004,1,2,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,0,9999,99.0,9.0,4,2.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0,0,9.0,1,2,9.0,1.0,,3,9.0,1,M,999,,9.0,9.0,9.0,6+,9,9,9.0,9.0
8844,0.3245252024,_A,2004,15,16,ES,0.0,1,9,6,2,4,2004,1,2,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2003,1.0,5.0,4,3.0,3.0,0,0,1,1,0,0,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,2,3.0,0,L,999,5.0,9.0,9.0,,04,9,9,9.0,
8867,0.0729071353,_A,2004,25,26,ES,3.0,1,9,3,2,6,2004,1,1,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,1996,99.0,1,2,,40,40,,,97,,40.0,1,1,9.0,99,9,9999,99.0,9.0,9,2.0,2.0,0,0,1,1,0,0,0,0,0,0,0.0,0,9.0,9,2,9.0,2.0,999.0,1,9.0,0,L,96,,,9.0,9.0,04,9,9,9.0,9.0
8889,0.2589385564,_A,2004,16,17,ES,3.0,1,9,6,2,4,2004,1,2,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2003,8.0,0.0,4,6.0,2.0,0,0,1,1,0,0,0,0,0,0,1.0,0,9.0,1,2,9.0,2.0,999.0,2,2.0,0,L,999,4.0,9.0,9.0,,05,9,9,9.0,
8898,0.2396951428,_A,2004,26,27,ES,0.0,1,9,5,2,6,2004,1,1,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,1999,99.0,0.0,4,6.0,3.0,0,0,0,1,0,1,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,2,3.0,0,L,999,8.0,9.0,9.0,,03,9,9,9.0,
8935,0.2766970463,_A,2004,26,27,ES,3.0,1,9,5,2,6,2004,1,1,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2002,6.0,5.0,4,2.0,3.0,0,0,1,1,0,0,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,2,3.0,0,L,999,7.0,9.0,9.0,,03,9,9,9.0,
8937,0.1810285615,_A,2004,16,17,ES,3.0,1,9,4,2,4,2004,1,1,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2003,11.0,5.0,4,6.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,3,9.0,0,M,999,3.0,9.0,9.0,,03,9,9,9.0,
8950,0.1786485319,_A,2004,20,21,ES,0.0,1,9,4,2,5,2004,1,1,65.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2003,11.0,5.0,4,3.0,2.0,1,0,0,0,0,0,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,2,2.0,0,L,999,4.0,9.0,9.0,,02,9,9,9.0,
8952,0.5196006309,_A,2004,21,22,ES,0.0,1,9,3,2,5,2004,1,2,47.0,NO ANSWER,,NO ANSWER,1.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2004,2.0,5.0,4,3.0,3.0,0,0,1,1,0,1,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,2,1.0,0,M,999,3.0,9.0,9.0,,02,9,9,9.0,
8953,0.4288584687,_A,2004,21,22,ES,0.0,1,9,3,2,5,2004,1,2,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2003,8.0,5.0,4,6.0,2.0,0,1,1,1,1,1,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,2,2.0,0,H,999,4.0,9.0,9.0,,04,9,9,9.0,
8960,0.3041408648,_A,2004,24,25,ES,0.0,1,9,2,2,6,2004,1,2,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2004,1.0,5.0,4,6.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,3,9.0,0,M,999,3.0,9.0,9.0,,03,9,9,9.0,
8968,0.1523759673,_A,2004,15,16,ES,3.0,1,9,4,2,4,2004,1,1,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2001,99.0,5.0,4,6.0,3.0,1,0,0,1,0,1,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,2,3.0,0,L,999,7.0,9.0,9.0,,04,9,9,9.0,
8989,0.1724964793,_A,2004,19,20,ES,0.0,1,9,1,2,5,2004,1,2,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2003,8.0,5.0,4,6.0,2.0,0,0,0,1,0,1,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,2,2.0,0,H,999,4.0,9.0,9.0,,04,9,9,9.0,
8993,0.2774226119,_A,2004,19,20,ES,0.0,1,9,1,2,5,2004,1,2,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,,9,000-OWN COUNTRY,2004,4.0,1,9,9.0,40,40,99.0,99.0,97,,40.0,1,1,9.0,99,9,9999,99.0,9.0,9,6.0,3.0,0,0,0,1,0,0,0,0,0,0,0.0,0,9.0,9,2,9.0,2.0,999.0,1,9.0,0,L,1,,,9.0,9.0,01,9,9,9.0,9.0
9015,0.2330184972,_A,2004,16,17,ES,0.0,1,9,3,2,4,2004,1,1,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,0,9999,99.0,9.0,4,6.0,3.0,1,0,1,1,0,0,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,2,3.0,0,L,999,,9.0,9.0,9.0,6+,9,9,9.0,9.0
9022,0.2053706573,_A,2004,18,19,ES,0.0,1,9,1,2,4,2004,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,5.0,9,000-OWN COUNTRY,2004,4.0,2,2,1.0,18,18,,,97,1.0,40.0,1,1,9.0,99,9,9999,99.0,9.0,9,5.0,3.0,1,1,1,0,0,0,0,0,0,0,,0,9.0,2,1,5.0,2.0,999.0,1,9.0,1,H,0,,,9.0,9.0,03,9,9,9.0,9.0
9024,0.0577416345,_A,2004,15,16,ES,0.0,1,9,3,2,4,2004,1,2,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,0,9999,99.0,9.0,4,6.0,1.0,1,0,0,0,0,0,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,2,1.0,0,L,999,,9.0,9.0,9.0,04,9,9,9.0,9.0
9027,1.3493967738,_A,2004,19,20,ES,0.0,1,9,4,2,5,2004,1,2,32.0,005-EU28,5.0,005-EU28,2.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2001,99.0,5.0,4,6.0,3.0,0,0,1,0,0,0,0,0,0,0,0.0,0,9.0,1,2,9.0,1.0,,2,3.0,1,M,999,7.0,9.0,9.0,,02,9,9,9.0,
9044,0.2029287412,_A,2004,19,20,ES,3.0,1,9,3,2,5,2004,1,2,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,5.0,9,000-OWN COUNTRY,2004,3.0,1,2,2.0,40,40,,,97,,40.0,1,1,9.0,99,9,9999,99.0,9.0,9,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0,9.0,9,1,5.0,2.0,999.0,1,9.0,1,M,2,,,9.0,9.0,04,9,9,9.0,9.0
9065,0.1173457189,_A,2004,17,18,ES,3.0,1,9,4,2,4,2004,1,2,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2004,2.0,5.0,4,6.0,1.0,1,0,1,1,0,0,0,0,0,0,,0,9.0,1,2,9.0,2.0,999.0,2,1.0,0,L,999,2.0,9.0,9.0,,04,9,9,9.0,
9097,0.8700849774,_A,2004,22,23,ES,0.0,1,9,4,2,5,2004,1,2,32.0,NO ANSWER,,NO ANSWER,1.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2003,11.0,5.0,4,6.0,2.0,0,0,0,1,0,1,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,2,2.0,0,M,999,4.0,9.0,9.0,,03,9,9,9.0,
9106,0.1582855778,_A,2004,24,25,ES,3.0,1,9,2,2,6,2004,1,2,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2004,5.0,5.0,4,6.0,1.0,1,0,0,0,0,0,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,2,1.0,0,L,999,2.0,9.0,9.0,,04,9,9,9.0,
9119,0.1575637137,_A,2004,26,27,ES,0.0,1,9,4,2,6,2004,1,1,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,5.0,9,000-OWN COUNTRY,2004,1.0,1,2,,40,40,,,97,,40.0,1,1,9.0,99,9,9999,99.0,9.0,9,3.0,1.0,0,0,1,1,1,1,0,0,0,0,0.0,0,9.0,9,2,9.0,2.0,999.0,1,9.0,0,L,5,,,9.0,9.0,04,9,9,9.0,9.0
9142,0.294929116,_A,2004,18,19,ES,3.0,1,9,3,2,4,2004,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2002,10.0,5.0,4,6.0,3.0,1,0,0,1,0,1,0,0,0,0,,0,9.0,1,2,9.0,2.0,999.0,2,3.0,0,L,999,6.0,9.0,9.0,,03,9,9,9.0,
9189,0.4523772874,_A,2004,21,22,ES,0.0,1,9,2,2,5,2004,1,1,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,1992,99.0,1,1,9.0,40,40,,,97,,60.0,1,1,9.0,99,9,9999,99.0,9.0,9,2.0,3.0,0,0,0,1,0,1,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,1,9.0,0,H,144,,,9.0,9.0,01,9,9,9.0,9.0
9233,0.3090619777,_A,2004,23,24,ES,0.0,1,9,6,2,6,2004,1,1,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2004,5.0,5.0,4,6.0,1.0,1,0,1,1,0,1,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,2,1.0,0,L,999,2.0,9.0,9.0,,04,9,9,9.0,
9236,0.1533926915,_A,2004,26,28,ES,3.0,1,9,2,2,6,2004,1,2,65.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,1995,99.0,9.0,4,5.0,2.0,0,0,0,0,0,0,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,3,9.0,0,L,999,8.0,9.0,9.0,9.0,03,9,9,9.0,9.0
9266,0.169240341,_A,2004,23,24,ES,3.0,1,9,3,2,6,2004,1,1,65.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2004,2.0,5.0,4,3.0,1.0,1,0,0,0,0,0,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,2,1.0,0,L,999,3.0,9.0,9.0,,02,9,9,9.0,
9267,0.3746302796,_A,2004,15,16,ES,0.0,1,9,1,2,4,2004,1,2,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2004,3.0,5.0,4,3.0,1.0,1,0,1,1,0,0,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,2,1.0,0,M,999,2.0,9.0,9.0,,03,9,9,9.0,
9270,0.1627478708,_A,2004,23,24,ES,0.0,1,9,6,2,6,2004,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2000,99.0,5.0,4,6.0,3.0,0,0,0,0,0,0,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,3,9.0,0,L,999,8.0,9.0,9.0,,03,9,9,9.0,
