,COEFF,QUARTER,REFYEAR,REFWEEK,INTWEEK,COUNTRY,DEGURBA,HHTYPE,HHINST,INTWAVE,INTQUEST,REM,YEAR,HHPRIV,SEX,AGE,NATIONAL,YEARESID,COUNTRYB,PROXY,NOWKREAS,STAPRO,SIGNISAL,COUNTRYW,YSTARTWK,MSTARTWK,FTPT,TEMP,TEMPDUR,HWUSUAL,HWACTUAL,HWOVERP,HWOVERPU,HOURREAS,WISHMORE,HWWISH,LOOKOJ,EXIST2J,STAPRO2J,HWACTUA2,EXISTPR,YEARPR,MONTHPR,STAPROPR,SEEKWORK,SEEKTYPE,SEEKDUR,METHODA,METHODB,METHODC,METHODD,METHODE,METHODF,METHODG,METHODH,METHODI,METHODJ,METHODK,METHODL,METHODM,WANTWORK,AVAILBLE,EDUCSTAT,EDUCLEVL,COURATT,COURLEN,ILOSTAT,ISCO1D,ISCOPR1D,DURUNE,EDUC4WN,HATLEV1D,STARTIME,LEAVCLAS,NACE1D,NACE2J1D,NACEPR1D,HATVOC,EDUCVOC,nace2j1d_g,nacepr1d_g
42405,,_A,2013,22,23.0,DK,0.0,1,9,4,2,5,2013,1,2.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2012.0,4.0,2.0,1.0,9.0,8.0,8.0,0,0,97.0,1.0,37.0,1.0,1.0,9,99.0,9.0,9999.0,99,9,9,2,1,0,0,0,0,1,1,1,0,0,1,0,0,0,9.0,2,1.0,,,999.0,1.0,,999.0,9.0,1.0,,13.0,,G,9,9,9,9,9,9
42415,,_A,2013,10,12.0,DK,3.0,1,9,4,2,3,2013,1,1.0,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,,9999.0,99,9,4,3,1,0,0,1,1,1,1,0,0,0,1,0,0,0,9.0,1,2.0,9.0,,999.0,2.0,999.0,999.0,1.0,,,999.0,,9,9,9,9,9,9,9
42465,0.036013526,_A,2013,40,41.0,DK,3.0,1,9,1,2,10,2013,1,2.0,65.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,1.0,,99,9,4,5,3,1,0,1,1,1,1,0,0,0,0,0,0,1,9.0,1,2.0,9.0,2.0,999.0,2.0,999.0,999.0,3.0,0.0,L,999.0,,9,9,9,9,9,9,9
42477,,_A,2013,2,4.0,DK,0.0,1,9,4,2,1,2013,1,1.0,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2007.0,99.0,1.0,1.0,9.0,37.0,40.0,0,3,12.0,0.0,37.0,1.0,1.0,9,99.0,9.0,9999.0,99,9,9,2,3,0,0,0,0,0,1,0,0,0,1,0,0,0,9.0,9,2.0,9.0,,999.0,1.0,100.0,999.0,9.0,,,72.0,,G,9,9,9,9,9,9
42506,0.0174876421,_A,2013,34,35.0,DK,3.0,1,9,4,2,8,2013,1,1.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2012.0,7.0,2.0,1.0,9.0,2.0,2.0,0,0,97.0,1.0,3.0,1.0,1.0,9,99.0,9.0,9999.0,99,9,9,5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,9.0,2,3.0,3.0,1.0,37.0,1.0,900.0,999.0,9.0,1.0,L,13.0,,H,9,9,9,9,9,9
42508,0.0391652275,_A,2013,14,15.0,DK,0.0,1,9,2,2,4,2013,1,2.0,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,7,5.0,4,000-OWN COUNTRY,2012.0,12.0,1.0,1.0,9.0,37.0,0.0,0,0,99.0,0.0,30.0,1.0,1.0,9,99.0,9.0,9999.0,99,9,9,3,1,0,0,1,0,1,1,0,0,0,0,0,0,1,9.0,9,2.0,9.0,2.0,999.0,1.0,300.0,999.0,9.0,0.0,H,4.0,,H,9,9,9,9,9,9
42509,0.0421813491,_A,2013,26,28.0,DK,0.0,1,9,4,2,6,2013,1,2.0,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2013.0,3.0,2.0,1.0,9.0,10.0,10.0,0,0,97.0,1.0,37.0,1.0,1.0,9,99.0,9.0,9999.0,99,9,9,3,1,0,0,1,1,1,1,0,0,0,0,1,0,0,9.0,1,2.0,9.0,2.0,999.0,1.0,500.0,999.0,9.0,0.0,H,3.0,,H,9,9,9,9,9,9
42525,0.0325504742,_A,2013,8,9.0,DK,3.0,1,9,2,2,2,2013,1,2.0,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,1997.0,99.0,1.0,1.0,9.0,32.0,16.0,0,0,11.0,0.0,32.0,1.0,1.0,9,99.0,9.0,9999.0,99,9,9,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,9.0,9,2.0,9.0,1.0,16.0,1.0,200.0,999.0,9.0,1.0,H,192.0,,H,9,9,9,9,9,9
42526,0.0258955069,_A,2013,49,51.0,DK,3.0,1,9,4,2,12,2013,1,2.0,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,1.0,2012.0,8,5,4,3,1,0,0,1,1,1,1,0,0,0,1,0,0,0,9.0,1,2.0,9.0,1.0,12.0,2.0,999.0,500.0,1.0,1.0,M,999.0,5.0,9,9,P,9,9,9,H
42529,0.0382977878,_A,2013,30,31.0,DK,0.0,1,9,1,2,7,2013,1,1.0,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,7,5.0,4,000-OWN COUNTRY,2012.0,4.0,1.0,1.0,9.0,37.0,0.0,0,0,99.0,0.0,37.0,1.0,1.0,9,99.0,9.0,9999.0,99,9,9,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,9.0,9,2.0,9.0,2.0,999.0,1.0,300.0,999.0,9.0,0.0,H,15.0,,H,9,9,9,9,9,9
42553,0.0253754424,_A,2013,4,5.0,DK,0.0,1,9,4,2,1,2013,1,1.0,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,1.0,2012.0,12,5,4,3,1,0,0,1,1,1,1,0,0,0,1,0,0,0,9.0,1,2.0,9.0,2.0,999.0,2.0,999.0,300.0,1.0,0.0,H,999.0,2.0,9,9,J,9,9,9,H
42557,0.0474656941,_A,2013,27,28.0,DK,0.0,1,9,4,2,7,2013,1,2.0,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2007.0,99.0,2.0,1.0,9.0,12.0,42.0,0,0,1.0,1.0,15.0,1.0,1.0,9,99.0,9.0,9999.0,99,9,9,5,1,0,0,1,1,1,1,0,0,0,0,0,0,1,9.0,2,1.0,5.0,2.0,999.0,1.0,500.0,999.0,9.0,1.0,H,72.0,,G,9,9,9,9,9,9
42565,,_A,2013,30,32.0,DK,0.0,1,9,4,2,7,2013,1,2.0,65.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,,9999.0,99,9,4,3,3,1,0,1,1,1,1,1,0,0,1,0,0,0,9.0,1,2.0,9.0,,999.0,2.0,999.0,999.0,3.0,,,999.0,,9,9,9,9,9,9,9
42574,0.034066261,_A,2013,20,21.0,DK,0.0,1,9,1,2,5,2013,1,1.0,32.0,005-EU28,5.0,005-EU28,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,1.0,2012.0,8,5,4,3,1,1,0,0,1,1,1,0,0,0,0,0,0,0,9.0,1,2.0,9.0,1.0,48.0,2.0,999.0,500.0,1.0,1.0,H,999.0,4.0,9,9,G,9,9,9,G
42587,0.0364054123,_A,2013,14,16.0,DK,3.0,1,9,3,2,4,2013,1,2.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2010.0,99.0,1.0,1.0,9.0,37.0,37.0,0,0,97.0,0.0,37.0,1.0,1.0,9,99.0,9.0,9999.0,99,9,9,3,1,0,0,1,1,0,1,0,0,0,0,0,0,0,9.0,9,2.0,9.0,1.0,6.0,1.0,900.0,999.0,9.0,1.0,L,36.0,,H,9,9,9,9,9,9
42630,0.1817865848,_A,2013,46,48.0,DK,0.0,1,9,2,2,11,2013,1,1.0,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,1.0,2012.0,4,5,4,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,9.0,2,1.0,3.0,1.0,1.0,3.0,999.0,300.0,9.0,1.0,L,999.0,6.0,9,9,S,9,9,9,H
42664,0.0390500766,_A,2013,18,20.0,DK,0.0,1,9,3,2,5,2013,1,2.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2008.0,99.0,2.0,1.0,9.0,30.0,30.0,0,0,97.0,1.0,37.0,1.0,1.0,9,99.0,9.0,9999.0,99,9,9,3,1,0,0,1,1,1,1,0,0,0,1,0,0,0,9.0,1,2.0,9.0,2.0,999.0,1.0,500.0,999.0,9.0,0.0,M,60.0,,G,9,9,9,9,9,9
42696,0.1176223226,_A,2013,44,46.0,DK,0.0,1,9,2,2,10,2013,1,1.0,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,1.0,2013.0,10,5,4,2,1,0,0,1,1,0,1,0,0,0,0,0,0,0,9.0,1,2.0,9.0,2.0,999.0,2.0,999.0,500.0,1.0,0.0,L,999.0,1.0,9,9,G,9,9,9,G
42699,0.0405919249,_A,2013,51,1.0,DK,3.0,1,9,1,2,12,2013,1,2.0,32.0,005-EU28,5.0,005-EU28,1.0,99,5.0,9,000-OWN COUNTRY,2013.0,9.0,1.0,2.0,3.0,31.0,33.0,0,0,16.0,1.0,37.0,1.0,1.0,9,99.0,9.0,9999.0,99,9,9,3,2,0,1,1,1,1,1,0,0,0,1,1,0,0,9.0,1,2.0,9.0,2.0,999.0,1.0,200.0,999.0,9.0,0.0,H,3.0,,H,9,9,9,9,9,9
42702,,_A,2013,23,25.0,DK,0.0,1,9,4,2,6,2013,1,2.0,65.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2013.0,4.0,1.0,2.0,4.0,37.0,37.0,0,0,97.0,0.0,37.0,1.0,1.0,9,99.0,9.0,9999.0,99,9,9,2,2,0,0,1,1,1,1,0,0,0,0,0,0,0,9.0,9,2.0,9.0,,999.0,1.0,,999.0,9.0,,,2.0,,,9,9,9,9,9,9
42708,0.0279422273,_A,2013,17,19.0,DK,3.0,1,9,1,2,4,2013,1,1.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,0.0,9999.0,99,9,4,5,1,0,0,0,1,1,1,0,0,0,1,0,0,0,9.0,1,1.0,2.0,2.0,999.0,2.0,999.0,999.0,1.0,1.0,L,999.0,,9,9,9,9,9,9,9
42821,0.1079344316,_A,2013,38,39.0,DK,0.0,1,9,1,2,9,2013,1,2.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,1.0,2010.0,99,5,4,5,1,1,0,1,1,1,1,0,0,0,1,0,0,0,9.0,1,1.0,5.0,2.0,999.0,2.0,999.0,900.0,1.0,1.0,L,999.0,7.0,9,9,N,9,9,9,H
42835,0.0493326822,_A,2013,31,32.0,DK,3.0,1,9,1,2,8,2013,1,1.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,1.0,2010.0,99,5,4,3,1,0,0,1,0,1,1,0,0,0,1,0,0,0,9.0,1,2.0,9.0,2.0,999.0,2.0,999.0,900.0,1.0,0.0,M,999.0,7.0,9,9,I,9,9,9,H
42864,0.026106618,_A,2013,38,40.0,DK,0.0,1,9,2,2,9,2013,1,1.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2010.0,99.0,2.0,1.0,9.0,7.0,7.0,0,0,97.0,1.0,37.0,1.0,1.0,9,99.0,9.0,9999.0,99,9,9,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,9.0,1,2.0,9.0,2.0,999.0,1.0,900.0,999.0,9.0,0.0,L,36.0,,H,9,9,9,9,9,9
42906,,_A,2013,40,42.0,DK,3.0,1,9,4,2,10,2013,1,2.0,47.0,NO ANSWER,,NO ANSWER,1.0,99,5.0,9,000-OWN COUNTRY,2012.0,9.0,1.0,1.0,9.0,37.0,37.0,0,0,97.0,0.0,37.0,1.0,2.0,0,0.0,9.0,9999.0,99,9,9,3,1,0,0,0,1,1,0,0,0,0,1,0,0,0,9.0,9,2.0,9.0,,999.0,1.0,200.0,999.0,9.0,,,13.0,,,,9,9,9,,9
42924,0.0176857611,_A,2013,18,19.0,DK,0.0,1,9,3,2,5,2013,1,2.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,0.0,9999.0,99,9,4,2,1,0,0,1,0,1,1,0,0,0,1,0,0,0,9.0,2,1.0,3.0,2.0,999.0,3.0,999.0,999.0,9.0,1.0,L,999.0,,9,9,9,9,9,9,9
42945,0.0851249718,_A,2013,3,4.0,DK,3.0,1,9,1,2,1,2013,1,2.0,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,1.0,2010.0,99,5,4,3,2,0,0,0,0,1,1,0,0,0,0,0,0,1,9.0,1,2.0,9.0,2.0,999.0,2.0,999.0,900.0,2.0,0.0,M,999.0,7.0,9,9,A,9,9,9,A
42966,0.0550301758,_A,2013,44,45.0,DK,0.0,1,9,1,2,10,2013,1,2.0,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,1.0,2012.0,12,5,4,3,2,1,0,1,1,1,1,0,0,0,0,0,0,1,9.0,1,2.0,9.0,1.0,4.0,2.0,999.0,200.0,2.0,1.0,H,999.0,4.0,9,9,D,9,9,9,B
43004,0.1087076009,_A,2013,10,11.0,DK,3.0,1,9,3,2,3,2013,1,2.0,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,1.0,2011.0,4,5,4,4,3,0,0,1,1,1,1,0,0,0,0,0,0,1,9.0,1,2.0,9.0,2.0,999.0,2.0,999.0,900.0,3.0,0.0,M,999.0,6.0,9,9,C,9,9,9,B
43006,0.0618560541,_A,2013,15,17.0,DK,0.0,1,9,1,2,4,2013,1,1.0,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,1.0,2009.0,99,5,4,3,3,0,0,1,1,1,1,0,0,0,1,1,0,0,9.0,1,2.0,9.0,2.0,999.0,2.0,999.0,500.0,3.0,0.0,L,999.0,8.0,9,9,G,9,9,9,G
43031,0.0958512616,_A,2013,5,6.0,DK,0.0,1,9,3,2,1,2013,1,1.0,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,1.0,2012.0,8,5,4,3,2,1,0,1,1,1,1,0,0,0,1,0,0,0,9.0,1,2.0,9.0,2.0,999.0,2.0,999.0,800.0,1.0,0.0,M,999.0,3.0,9,9,A,9,9,9,A
43038,,_A,2013,29,30.0,DK,3.0,1,9,4,2,7,2013,1,2.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,7,5.0,4,000-OWN COUNTRY,2012.0,11.0,1.0,2.0,5.0,50.0,0.0,0,0,99.0,0.0,37.0,1.0,1.0,9,99.0,9.0,9999.0,99,9,9,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,9.0,9,2.0,9.0,,999.0,1.0,200.0,999.0,9.0,,,8.0,,H,9,9,9,9,9,9
43043,0.0732410439,_A,2013,9,10.0,DK,3.0,1,9,2,2,2,2013,1,1.0,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2010.0,99.0,1.0,1.0,9.0,37.0,37.0,0,0,97.0,0.0,30.0,1.0,1.0,9,99.0,9.0,9999.0,99,9,9,2,3,0,0,1,1,1,1,0,0,0,0,0,0,0,9.0,9,2.0,9.0,2.0,999.0,1.0,300.0,999.0,9.0,0.0,M,36.0,,G,9,9,9,9,9,9
43062,0.0173654242,_A,2013,1,3.0,DK,3.0,1,9,1,2,1,2013,1,2.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,1.0,2012.0,9,5,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,9.0,1,1.0,3.0,2.0,999.0,2.0,999.0,800.0,1.0,1.0,L,999.0,3.0,9,9,C,9,9,9,B
43097,0.0400909246,_A,2013,18,20.0,DK,3.0,1,9,4,2,5,2013,1,2.0,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2008.0,99.0,1.0,1.0,9.0,32.0,37.0,0,0,16.0,0.0,32.0,1.0,1.0,9,99.0,9.0,9999.0,99,9,9,4,2,0,0,1,0,0,1,0,0,0,0,0,0,0,9.0,9,2.0,9.0,2.0,999.0,1.0,200.0,999.0,9.0,0.0,H,60.0,,H,9,9,9,9,9,9
43103,0.018987021,_A,2013,18,20.0,DK,0.0,1,9,4,2,5,2013,1,2.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2013.0,1.0,2.0,1.0,9.0,8.0,8.0,0,0,97.0,0.0,8.0,1.0,1.0,9,99.0,9.0,9999.0,99,9,9,5,1,0,0,0,1,1,1,0,0,0,0,0,0,0,9.0,9,1.0,3.0,1.0,6.0,1.0,900.0,999.0,9.0,1.0,L,4.0,,H,9,9,9,9,9,9
43121,0.0395265374,_A,2013,48,49.0,DK,0.0,1,9,3,2,11,2013,1,2.0,47.0,NO ANSWER,,NO ANSWER,2.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,1.0,2012.0,5,5,4,2,2,1,0,0,0,1,1,0,0,0,1,0,0,0,9.0,1,2.0,9.0,2.0,999.0,2.0,999.0,900.0,2.0,0.0,,999.0,6.0,9,9,H,9,9,9,H
43145,0.0305527328,_A,2013,52,1.0,DK,,1,9,2,2,12,2013,1,2.0,20.0,NO ANSWER,,NO ANSWER,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,0.0,9999.0,99,9,4,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,9.0,1,1.0,2.0,2.0,999.0,2.0,999.0,999.0,1.0,1.0,L,999.0,,9,9,9,9,9,9,9
43151,0.0421367968,_A,2013,24,25.0,DK,3.0,1,9,2,2,6,2013,1,2.0,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,1.0,2013.0,2,5,4,5,1,1,0,1,1,1,1,0,0,0,1,1,0,0,9.0,1,2.0,9.0,2.0,999.0,2.0,999.0,500.0,1.0,0.0,L,999.0,3.0,9,9,I,9,9,9,H
43152,0.0388901636,_A,2013,8,9.0,DK,0.0,1,9,1,2,2,2013,1,1.0,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2013.0,1.0,1.0,1.0,9.0,32.0,32.0,0,0,97.0,1.0,37.0,1.0,1.0,9,99.0,9.0,9999.0,99,9,9,2,1,0,0,0,0,1,1,0,0,0,0,0,0,1,9.0,2,2.0,9.0,1.0,7.0,1.0,200.0,999.0,9.0,1.0,H,1.0,,H,9,9,9,9,9,9
43153,0.0365051326,_A,2013,1,2.0,DK,3.0,1,9,1,2,1,2013,1,2.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,1.0,2012.0,12,5,4,4,1,0,0,0,0,1,1,0,0,0,0,0,0,0,9.0,1,2.0,9.0,2.0,999.0,2.0,999.0,500.0,1.0,0.0,L,999.0,2.0,9,9,J,9,9,9,H
43168,0.0271138604,_A,2013,23,24.0,DK,3.0,1,9,1,2,6,2013,1,1.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,1.0,2011.0,6,5,4,5,2,0,0,1,1,1,1,0,0,0,1,0,0,0,9.0,1,1.0,3.0,2.0,999.0,2.0,999.0,500.0,2.0,1.0,L,999.0,7.0,9,9,G,9,9,9,G
43170,0.0287045059,_A,2013,46,48.0,DK,3.0,1,9,1,2,11,2013,1,1.0,65.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,0.0,9,000-OWN COUNTRY,2010.0,99.0,1.0,9.0,9.0,40.0,40.0,99,99,97.0,1.0,84.0,1.0,2.0,5,0.0,9.0,9999.0,99,9,9,3,1,0,0,1,1,1,1,0,0,0,0,0,0,0,9.0,1,2.0,9.0,2.0,999.0,1.0,500.0,999.0,9.0,0.0,M,36.0,,H,H,9,9,9,H,9
43177,0.0347131954,_A,2013,38,39.0,DK,3.0,1,9,3,2,9,2013,1,1.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,1.0,2013.0,9,5,4,2,2,0,0,1,0,1,1,0,0,0,1,0,0,0,9.0,1,2.0,9.0,2.0,999.0,2.0,999.0,500.0,1.0,0.0,L,999.0,1.0,9,9,G,9,9,9,G
43204,0.037937916,_A,2013,38,39.0,DK,3.0,1,9,4,2,9,2013,1,2.0,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,1.0,2013.0,6,5,4,3,1,0,0,1,1,0,1,0,0,0,0,0,0,0,9.0,1,2.0,9.0,2.0,999.0,2.0,999.0,500.0,1.0,0.0,M,999.0,3.0,9,9,Q,9,9,9,H
43246,0.0318662872,_A,2013,10,12.0,DK,0.0,1,9,2,2,3,2013,1,2.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2009.0,99.0,2.0,1.0,9.0,15.0,15.0,0,0,97.0,1.0,40.0,1.0,1.0,9,99.0,9.0,9999.0,99,9,9,2,1,0,0,1,1,1,1,0,0,0,0,0,0,0,9.0,1,1.0,3.0,2.0,999.0,1.0,500.0,999.0,9.0,1.0,L,48.0,,G,9,9,9,9,9,9
43269,0.0537421206,_A,2013,38,39.0,DK,0.0,1,9,3,2,9,2013,1,2.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2010.0,99.0,1.0,2.0,3.0,37.0,38.0,0,0,1.0,0.0,37.0,1.0,1.0,9,99.0,9.0,9999.0,99,9,9,2,1,0,0,1,0,1,1,1,0,0,1,0,0,0,9.0,9,2.0,9.0,2.0,999.0,1.0,300.0,999.0,9.0,0.0,H,36.0,,G,9,9,9,9,9,9
43277,0.0997117433,_A,2013,4,5.0,DK,0.0,1,9,2,2,1,2013,1,2.0,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,1.0,2011.0,7,5,4,3,3,1,0,1,1,0,1,0,0,0,0,0,0,0,9.0,1,2.0,9.0,1.0,8.0,2.0,999.0,200.0,3.0,1.0,H,999.0,6.0,9,9,Q,9,9,9,H
43306,0.0156309426,_A,2013,51,1.0,DK,3.0,1,9,1,2,12,2013,1,1.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2013.0,12.0,2.0,1.0,9.0,6.0,6.0,0,0,97.0,1.0,37.0,1.0,1.0,9,99.0,9.0,9999.0,99,9,9,3,2,0,0,1,1,0,0,0,0,0,1,0,0,0,9.0,1,2.0,9.0,2.0,999.0,1.0,500.0,999.0,9.0,0.0,L,0.0,,H,9,9,9,9,9,9
43316,0.0562644213,_A,2013,38,40.0,DK,0.0,1,9,3,2,9,2013,1,1.0,20.0,005-EU28,,005-EU28,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,1.0,2013.0,8,5,4,3,1,0,0,1,0,1,1,0,0,0,1,0,0,0,9.0,1,2.0,9.0,1.0,56.0,2.0,999.0,900.0,1.0,1.0,,999.0,2.0,9,9,C,9,9,9,B
