,COEFF,QUARTER,REFYEAR,REFWEEK,INTWEEK,COUNTRY,HHTYPE,HHINST,INTWAVE,INTQUEST,REM,YEAR,HHPRIV,SEX,AGE,NATIONAL,YEARESID,COUNTRYB,PROXY,NOWKREAS,STAPRO,SIGNISAL,COUNTRYW,YSTARTWK,MSTARTWK,FTPT,TEMP,TEMPDUR,HWUSUAL,HWACTUAL,HWOVERP,HWOVERPU,HOURREAS,WISHMORE,HWWISH,LOOKOJ,EXIST2J,STAPRO2J,HWACTUA2,EXISTPR,YEARPR,MONTHPR,STAPROPR,SEEKWORK,SEEKTYPE,SEEKDUR,METHODA,METHODB,METHODC,METHODD,METHODE,METHODF,METHODG,METHODH,METHODI,METHODJ,METHODK,METHODL,METHODM,WANTWORK,AVAILBLE,EDUCSTAT,EDUCLEVL,COURATT,COURLEN,ILOSTAT,DURUNE,EDUC4WN,HATLEV1D,STARTIME,LEAVCLAS,NACE1D,NACE2J1D,NACEPR1D,HHNBPERS,HATVOC,EDUCVOC,nace2j1d_g,nacepr1d_g
9675,0.1987908257,_A,2004,20,21,RO,1,9,3,2,5,2004,1,1,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99,9,9.0,9.0,99,99,99.0,99.0,99.0,9.0,99.0,9,9,9,99,1.0,2000,99,5,4,3.0,3.0,0,0,0,0,1,1,0,1,0,0,0,0,0,9.0,1,2,9,2.0,999,2,3.0,0.0,M,999,8.0,9.0,9.0,,03,9,9,9.0,
9687,0.1775396716,_A,2004,24,25,RO,1,9,3,2,6,2004,1,1,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99,9,9.0,9.0,99,99,99.0,99.0,99.0,9.0,99.0,9,9,9,99,1.0,1999,99,0,4,2.0,3.0,0,0,1,1,0,1,0,0,1,0,0,0,0,9.0,1,2,9,2.0,999,2,3.0,0.0,M,999,8.0,9.0,9.0,,01,9,9,9.0,
9694,0.3530010738,_A,2004,22,23,RO,1,9,1,2,5,2004,1,1,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99,9,9.0,9.0,99,99,99.0,99.0,99.0,9.0,99.0,9,9,9,99,1.0,2001,99,5,4,,3.0,0,0,1,0,1,0,0,1,0,0,0,0,0,9.0,1,2,9,2.0,999,2,3.0,0.0,M,999,7.0,9.0,9.0,,03,9,9,9.0,
9696,0.3435815512,_A,2004,16,17,RO,1,9,3,2,4,2004,1,1,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99,9,9.0,9.0,99,99,99.0,99.0,99.0,9.0,99.0,9,9,9,99,1.0,2001,99,5,4,2.0,2.0,1,0,1,1,0,0,0,0,0,0,0,0,0,9.0,1,2,9,2.0,999,2,2.0,0.0,M,999,7.0,9.0,9.0,,02,9,9,9.0,
9703,0.5844062891,_A,2004,22,23,RO,1,9,2,2,5,2004,1,1,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99,9,9.0,9.0,99,99,99.0,99.0,99.0,9.0,99.0,9,9,9,99,0.0,9999,99,9,4,,3.0,0,0,1,1,0,1,0,0,1,0,0,0,0,9.0,1,2,9,2.0,999,2,3.0,0.0,L,999,,9.0,9.0,9.0,6+,9,9,9.0,9.0
9714,0.6518859335,_A,2004,17,18,RO,1,9,2,2,4,2004,1,1,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99,9,9.0,9.0,99,99,99.0,99.0,99.0,9.0,99.0,9,9,9,99,0.0,9999,99,9,4,3.0,3.0,1,0,0,1,1,0,1,0,0,0,0,0,0,9.0,1,2,9,2.0,999,2,3.0,0.0,M,999,,9.0,9.0,9.0,04,9,9,9.0,9.0
9717,0.2576306994,_A,2004,20,21,RO,1,9,1,2,5,2004,1,1,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99,9,9.0,9.0,99,99,99.0,99.0,99.0,9.0,99.0,9,9,9,99,1.0,2003,4,5,4,,2.0,0,0,1,1,0,1,0,0,0,0,0,0,0,9.0,1,2,9,2.0,999,2,2.0,0.0,M,999,5.0,9.0,9.0,,02,9,9,9.0,
9776,0.4096716518,_A,2004,17,18,RO,1,9,4,2,4,2004,1,1,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99,9,9.0,9.0,99,99,99.0,99.0,99.0,9.0,99.0,9,9,9,99,1.0,2004,2,5,4,6.0,1.0,0,0,0,0,1,1,0,0,1,0,0,0,0,9.0,1,2,9,2.0,999,2,1.0,0.0,M,999,2.0,9.0,9.0,,04,9,9,9.0,
9779,0.450951955,_A,2004,20,21,RO,1,9,2,2,5,2004,1,1,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99,9,9.0,9.0,99,99,99.0,99.0,99.0,9.0,99.0,9,9,9,99,0.0,9999,99,9,4,,2.0,0,0,1,1,0,1,0,0,0,0,0,0,0,9.0,1,1,5,2.0,999,2,2.0,1.0,M,999,,9.0,9.0,9.0,05,9,9,9.0,9.0
9782,0.4824553449,_A,2004,25,26,RO,1,9,4,2,6,2004,1,2,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99,9,9.0,9.0,99,99,99.0,99.0,99.0,9.0,99.0,9,9,9,99,0.0,9999,99,9,4,,3.0,0,0,1,1,0,1,0,0,1,0,0,0,0,9.0,1,2,9,2.0,999,2,3.0,0.0,M,999,,9.0,9.0,9.0,04,9,9,9.0,9.0
9802,0.2953280201,_A,2004,26,27,RO,1,9,1,2,6,2004,1,1,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99,9,9.0,9.0,99,99,99.0,99.0,99.0,9.0,99.0,9,9,9,99,1.0,1990,99,9,4,,3.0,0,0,1,0,1,0,0,1,0,0,0,0,0,9.0,1,2,9,2.0,999,2,3.0,0.0,M,999,8.0,9.0,9.0,9.0,6+,9,9,9.0,9.0
9827,0.2633159708,_A,2004,17,18,RO,1,9,4,2,4,2004,1,1,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99,9,9.0,9.0,99,99,99.0,99.0,99.0,9.0,99.0,9,9,9,99,1.0,2004,2,5,4,2.0,2.0,1,0,1,0,1,0,1,0,0,0,0,0,0,9.0,1,2,9,2.0,999,2,1.0,0.0,M,999,2.0,9.0,9.0,,04,9,9,9.0,
9831,0.292532882,_A,2004,17,18,RO,1,9,1,2,4,2004,1,2,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99,9,9.0,9.0,99,99,99.0,99.0,99.0,9.0,99.0,9,9,9,99,0.0,9999,99,9,4,3.0,3.0,0,0,1,1,1,1,0,0,0,0,0,0,0,9.0,1,2,9,2.0,999,2,3.0,0.0,L,999,,9.0,9.0,9.0,03,9,9,9.0,9.0
9836,0.4312316207,_A,2004,26,27,RO,1,9,3,2,6,2004,1,1,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99,9,9.0,9.0,99,99,99.0,99.0,99.0,9.0,99.0,9,9,9,99,0.0,9999,99,9,4,,3.0,1,0,0,1,1,0,1,0,0,0,0,0,0,9.0,1,2,9,2.0,999,2,3.0,0.0,M,999,,9.0,9.0,9.0,05,9,9,9.0,9.0
9866,0.2763324315,_A,2004,20,21,RO,1,9,4,2,5,2004,1,1,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99,9,9.0,9.0,99,99,99.0,99.0,99.0,9.0,99.0,9,9,9,99,1.0,2004,3,5,4,2.0,1.0,1,0,0,0,1,1,1,0,0,0,0,0,0,9.0,1,2,9,2.0,999,2,1.0,0.0,M,999,2.0,9.0,9.0,,04,9,9,9.0,
9879,0.3276634442,_A,2004,14,15,RO,1,9,4,2,4,2004,1,2,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99,9,9.0,9.0,99,99,99.0,99.0,99.0,9.0,99.0,9,9,9,99,0.0,9999,99,9,4,3.0,3.0,1,0,0,0,1,1,0,0,0,0,0,0,0,9.0,1,2,9,2.0,999,2,3.0,0.0,L,999,,9.0,9.0,9.0,04,9,9,9.0,9.0
9893,0.2173843174,_A,2004,20,21,RO,1,9,2,2,5,2004,1,1,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99,9,9.0,9.0,99,99,99.0,99.0,99.0,9.0,99.0,9,9,9,99,1.0,1996,99,9,4,,3.0,0,0,1,0,1,0,0,1,0,0,0,0,0,9.0,1,2,9,2.0,999,2,3.0,0.0,M,999,8.0,9.0,9.0,9.0,03,9,9,9.0,9.0
9913,0.3326381771,_A,2004,17,18,RO,1,9,4,2,4,2004,1,1,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99,9,9.0,9.0,99,99,99.0,99.0,99.0,9.0,99.0,9,9,9,99,0.0,9999,99,9,4,,1.0,0,0,1,1,0,1,0,0,1,0,0,0,0,9.0,1,2,9,2.0,999,2,1.0,0.0,M,999,,9.0,9.0,9.0,03,9,9,9.0,9.0
9937,0.2684136402,_A,2004,26,27,RO,1,9,3,2,6,2004,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99,9,9.0,9.0,99,99,99.0,99.0,99.0,9.0,99.0,9,9,9,99,1.0,2003,9,5,4,,1.0,0,0,1,0,1,0,0,1,0,0,0,0,0,9.0,1,2,9,2.0,999,2,1.0,0.0,M,999,4.0,9.0,9.0,,04,9,9,9.0,
9944,0.50270332,_A,2004,16,17,RO,1,9,1,2,4,2004,1,1,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99,9,9.0,9.0,99,99,99.0,99.0,99.0,9.0,99.0,9,9,9,99,1.0,1998,99,5,4,2.0,3.0,1,1,1,1,0,1,0,0,0,0,0,0,0,9.0,1,2,9,2.0,999,2,3.0,0.0,M,999,8.0,9.0,9.0,,05,9,9,9.0,
9955,0.3225388166,_A,2004,17,18,RO,1,9,2,2,4,2004,1,1,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99,9,9.0,9.0,99,99,99.0,99.0,99.0,9.0,99.0,9,9,9,99,1.0,2004,2,5,4,,3.0,1,1,0,1,0,0,0,0,0,0,0,0,0,9.0,1,2,9,2.0,999,2,1.0,0.0,L,999,2.0,9.0,9.0,,05,9,9,9.0,
9987,0.4071710121,_A,2004,15,16,RO,1,9,1,2,4,2004,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99,9,9.0,9.0,99,99,99.0,99.0,99.0,9.0,99.0,9,9,9,99,1.0,1993,99,9,4,,3.0,1,0,0,1,1,0,0,0,0,0,0,0,0,9.0,1,2,9,2.0,999,2,3.0,0.0,M,999,8.0,9.0,9.0,9.0,04,9,9,9.0,9.0
10024,0.4540413345,_A,2004,16,17,RO,1,9,2,2,4,2004,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99,9,9.0,9.0,99,99,99.0,99.0,99.0,9.0,99.0,9,9,9,99,0.0,9999,99,9,4,3.0,3.0,1,1,1,0,0,0,0,0,0,0,0,0,0,9.0,1,2,9,2.0,999,2,3.0,0.0,M,999,,9.0,9.0,9.0,6+,9,9,9.0,9.0
10046,0.183886566,_A,2004,24,25,RO,1,9,3,2,6,2004,1,1,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,0.0,9,000-OWN COUNTRY,1985,99,2,9.0,9.0,30,30,99.0,99.0,97.0,1.0,48.0,1,1,9,99,9.0,9999,99,9,9,,3.0,0,0,1,0,1,0,0,0,0,0,0,0,0,9.0,1,2,9,2.0,999,1,9.0,0.0,M,228,,,9.0,9.0,01,9,9,9.0,9.0
10055,0.2567044551,_A,2004,24,25,RO,1,9,4,2,6,2004,1,1,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99,9,9.0,9.0,99,99,99.0,99.0,99.0,9.0,99.0,9,9,9,99,1.0,2004,2,5,4,2.0,3.0,0,0,1,0,1,0,0,1,0,0,0,0,0,9.0,1,2,9,2.0,999,2,1.0,0.0,M,999,3.0,9.0,9.0,,05,9,9,9.0,
10074,0.3371472735,_A,2004,20,21,RO,1,9,2,2,5,2004,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99,9,9.0,9.0,99,99,99.0,99.0,99.0,9.0,99.0,9,9,9,99,0.0,9999,99,9,4,,3.0,1,0,0,1,1,0,1,0,0,0,0,0,0,9.0,1,2,9,2.0,999,2,3.0,0.0,L,999,,9.0,9.0,9.0,6+,9,9,9.0,9.0
10092,0.4675121986,_A,2004,20,21,RO,1,9,1,2,5,2004,1,1,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99,9,9.0,9.0,99,99,99.0,99.0,99.0,9.0,99.0,9,9,9,99,1.0,1998,99,5,4,2.0,3.0,1,0,1,0,1,0,1,0,0,0,0,0,0,9.0,1,2,9,2.0,999,2,3.0,0.0,M,999,8.0,9.0,9.0,,04,9,9,9.0,
10099,0.451073978,_A,2004,15,16,RO,1,9,4,2,4,2004,1,1,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99,9,9.0,9.0,99,99,99.0,99.0,99.0,9.0,99.0,9,9,9,99,1.0,2004,2,0,4,,3.0,0,0,1,1,0,1,0,0,1,0,0,0,0,9.0,1,2,9,2.0,999,2,1.0,0.0,L,999,2.0,9.0,9.0,,04,9,9,9.0,
10117,0.4001524411,_A,2004,25,26,RO,1,9,2,2,6,2004,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99,9,9.0,9.0,99,99,99.0,99.0,99.0,9.0,99.0,9,9,9,99,1.0,1999,99,5,4,6.0,3.0,0,0,0,1,1,0,0,1,0,0,0,0,0,9.0,1,2,9,2.0,999,2,3.0,0.0,M,999,8.0,9.0,9.0,,04,9,9,9.0,
10128,0.3503275628,_A,2004,24,25,RO,1,9,2,2,6,2004,1,2,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99,9,9.0,9.0,99,99,99.0,99.0,99.0,9.0,99.0,9,9,9,99,0.0,9999,99,9,4,,2.0,0,0,0,1,1,1,1,0,0,0,0,0,0,9.0,1,1,5,2.0,999,2,2.0,1.0,M,999,,9.0,9.0,9.0,05,9,9,9.0,9.0
10154,0.4392851565,_A,2004,20,21,RO,1,9,2,2,5,2004,1,1,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99,9,9.0,9.0,99,99,99.0,99.0,99.0,9.0,99.0,9,9,9,99,1.0,2004,4,5,4,,2.0,1,0,0,1,1,0,1,0,0,0,0,0,0,9.0,1,2,9,2.0,999,2,1.0,0.0,L,999,2.0,9.0,9.0,,6+,9,9,9.0,
10223,0.1635922137,_A,2004,21,22,RO,1,9,2,2,5,2004,1,2,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99,9,9.0,9.0,99,99,99.0,99.0,99.0,9.0,99.0,9,9,9,99,1.0,2001,99,5,4,2.0,3.0,1,0,0,1,0,1,0,0,0,0,0,0,0,9.0,1,2,9,2.0,999,2,3.0,0.0,M,999,7.0,9.0,9.0,,02,9,9,9.0,
10264,0.5199086808,_A,2004,20,21,RO,1,9,2,2,5,2004,1,1,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99,9,9.0,9.0,99,99,99.0,99.0,99.0,9.0,99.0,9,9,9,99,0.0,9999,99,9,4,2.0,3.0,0,0,0,1,1,1,0,0,0,0,0,0,0,9.0,1,2,9,2.0,999,2,3.0,0.0,M,999,,9.0,9.0,9.0,03,9,9,9.0,9.0
10297,0.5906096914,_A,2004,19,20,RO,1,9,2,2,5,2004,1,1,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99,9,9.0,9.0,99,99,99.0,99.0,99.0,9.0,99.0,9,9,9,99,1.0,2003,12,5,4,,1.0,1,0,1,0,1,1,0,0,0,0,0,0,0,9.0,1,2,9,2.0,999,2,1.0,0.0,M,999,3.0,9.0,9.0,,05,9,9,9.0,
10312,0.3829086181,_A,2004,21,22,RO,1,9,3,2,5,2004,1,1,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99,9,9.0,9.0,99,99,99.0,99.0,99.0,9.0,99.0,9,9,9,99,1.0,2003,11,5,4,1.0,1.0,1,0,1,1,0,0,0,1,1,0,0,0,0,9.0,1,2,9,2.0,999,2,1.0,0.0,H,999,4.0,9.0,9.0,,04,9,9,9.0,
10326,0.5846463279,_A,2004,24,25,RO,1,9,3,2,6,2004,1,1,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2002,10,1,1.0,9.0,48,48,,,97.0,,48.0,1,1,9,99,9.0,9999,99,9,9,2.0,3.0,0,0,0,1,0,1,0,0,0,0,0,0,0,9.0,9,2,9,2.0,999,1,9.0,0.0,M,20,,,9.0,9.0,6+,9,9,9.0,9.0
10453,0.3043220298,_A,2004,25,26,RO,1,9,4,2,6,2004,1,1,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99,9,9.0,9.0,99,99,99.0,99.0,99.0,9.0,99.0,9,9,9,99,0.0,9999,99,9,4,,3.0,0,0,1,0,1,0,0,1,0,0,0,0,0,9.0,1,2,9,2.0,999,2,3.0,0.0,L,999,,9.0,9.0,9.0,02,9,9,9.0,9.0
10469,0.6059970082,_A,2004,16,17,RO,1,9,3,2,4,2004,1,1,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99,9,9.0,9.0,99,99,99.0,99.0,99.0,9.0,99.0,9,9,9,99,1.0,1994,99,9,4,,3.0,1,0,1,0,1,0,1,0,0,0,0,0,0,9.0,1,2,9,2.0,999,2,3.0,0.0,L,999,8.0,9.0,9.0,9.0,6+,9,9,9.0,9.0
10505,0.4490127925,_A,2004,24,25,RO,1,9,3,2,6,2004,1,1,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99,9,9.0,9.0,99,99,99.0,99.0,99.0,9.0,99.0,9,9,9,99,1.0,2003,4,5,4,6.0,3.0,0,0,0,1,0,1,0,0,1,0,0,0,0,9.0,1,2,9,2.0,999,2,3.0,0.0,M,999,5.0,9.0,9.0,,03,9,9,9.0,
10514,0.4136991077,_A,2004,15,16,RO,1,9,2,2,4,2004,1,1,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,0.0,9,000-OWN COUNTRY,1998,99,1,9.0,9.0,0,48,99.0,99.0,,,40.0,1,1,9,99,9.0,9999,99,9,9,,3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,9.0,9,2,9,2.0,999,1,9.0,0.0,M,72,,,9.0,9.0,04,9,9,9.0,9.0
10527,0.4597012176,_A,2004,16,17,RO,1,9,4,2,4,2004,1,1,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99,9,9.0,9.0,99,99,99.0,99.0,99.0,9.0,99.0,9,9,9,99,1.0,2003,11,5,4,,3.0,0,0,0,1,1,1,0,0,0,0,0,0,0,9.0,1,2,9,2.0,999,2,1.0,0.0,H,999,3.0,9.0,9.0,,,9,9,9.0,
10528,0.538935492,_A,2004,16,17,RO,1,9,3,2,4,2004,1,1,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2002,11,1,1.0,9.0,40,40,,,97.0,,55.0,1,1,9,99,9.0,9999,99,9,9,,3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,9.0,1,2,9,2.0,999,1,9.0,0.0,H,17,,,9.0,9.0,04,9,9,9.0,9.0
10550,0.3077062753,_A,2004,21,22,RO,1,9,4,2,5,2004,1,1,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99,9,9.0,9.0,99,99,99.0,99.0,99.0,9.0,99.0,9,9,9,99,1.0,2004,3,5,4,,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,9.0,1,2,9,2.0,999,2,1.0,0.0,M,999,2.0,9.0,9.0,,03,9,9,9.0,
10555,0.1703448568,_A,2004,17,18,RO,1,9,3,2,4,2004,1,2,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99,9,9.0,9.0,99,99,99.0,99.0,99.0,9.0,99.0,9,9,9,99,1.0,2004,1,5,4,2.0,1.0,1,0,1,0,1,0,1,0,0,0,0,0,0,9.0,1,2,9,2.0,999,2,1.0,0.0,M,999,3.0,9.0,9.0,,02,9,9,9.0,
10577,0.1807279812,_A,2004,23,24,RO,1,9,3,2,6,2004,1,2,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99,9,9.0,9.0,99,99,99.0,99.0,99.0,9.0,99.0,9,9,9,99,0.0,9999,99,9,4,,3.0,0,0,1,0,1,1,0,0,0,0,0,0,0,9.0,1,2,9,2.0,999,2,3.0,0.0,M,999,,9.0,9.0,9.0,02,9,9,9.0,9.0
10596,0.3071525601,_A,2004,20,21,RO,1,9,2,2,5,2004,1,1,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99,9,9.0,9.0,99,99,99.0,99.0,99.0,9.0,99.0,9,9,9,99,0.0,9999,99,9,4,2.0,2.0,1,1,1,1,1,1,1,0,0,0,0,0,0,9.0,1,2,9,2.0,999,2,2.0,0.0,M,999,,9.0,9.0,9.0,03,9,9,9.0,9.0
10702,0.5265674616,_A,2004,17,18,RO,1,9,4,2,4,2004,1,2,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99,9,9.0,9.0,99,99,99.0,99.0,99.0,9.0,99.0,9,9,9,99,0.0,9999,99,9,4,2.0,3.0,1,0,1,1,0,1,1,0,0,0,0,0,0,9.0,1,2,9,2.0,999,2,3.0,0.0,M,999,,9.0,9.0,9.0,6+,9,9,9.0,9.0
10766,0.2536369194,_A,2004,18,19,RO,1,9,4,2,4,2004,1,1,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,0.0,9,000-OWN COUNTRY,2004,3,1,9.0,9.0,0,60,99.0,99.0,,,40.0,1,1,9,99,9.0,9999,99,9,9,2.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.0,9,2,9,2.0,999,1,9.0,0.0,M,1,,,9.0,9.0,04,9,9,9.0,9.0
10785,0.3257452897,_A,2004,17,18,RO,1,9,2,2,4,2004,1,1,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,5.0,9,000-OWN COUNTRY,1998,99,2,9.0,9.0,0,36,99.0,99.0,1.0,1.0,40.0,1,1,9,99,9.0,9999,99,9,9,3.0,3.0,0,0,1,1,0,0,0,0,0,1,0,0,0,9.0,1,2,9,2.0,999,1,9.0,0.0,M,72,,,9.0,9.0,04,9,9,9.0,9.0
10796,0.3238494162,_A,2004,24,25,RO,1,9,2,2,6,2004,1,2,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,5.0,9,000-OWN COUNTRY,1987,99,1,1.0,9.0,40,40,,,97.0,,52.0,1,1,9,99,9.0,9999,99,9,9,5.0,3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,9.0,1,2,9,2.0,999,1,9.0,0.0,H,204,,,9.0,9.0,04,9,9,9.0,9.0
10829,0.2575524288,_A,2004,16,17,RO,1,9,4,2,4,2004,1,1,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,5.0,9,000-OWN COUNTRY,1996,99,2,9.0,9.0,0,20,99.0,99.0,,1.0,48.0,1,1,9,99,9.0,9999,99,9,9,,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.0,1,2,9,2.0,999,1,9.0,0.0,M,96,,,9.0,9.0,03,9,9,9.0,9.0
10890,0.570332623,_A,2004,15,16,RO,1,9,3,2,4,2004,1,1,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99,9,9.0,9.0,99,99,99.0,99.0,99.0,9.0,99.0,9,9,9,99,0.0,9999,99,9,4,,3.0,0,0,1,1,0,1,0,0,1,0,0,0,0,9.0,1,2,9,2.0,999,2,3.0,0.0,M,999,,9.0,9.0,9.0,6+,9,9,9.0,9.0
10910,0.4077356414,_A,2004,21,22,RO,1,9,2,2,5,2004,1,1,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99,9,9.0,9.0,99,99,99.0,99.0,99.0,9.0,99.0,9,9,9,99,1.0,2004,3,5,4,,2.0,0,0,0,0,1,1,0,0,1,0,0,0,0,9.0,1,2,9,2.0,999,2,1.0,0.0,M,999,2.0,9.0,9.0,,04,9,9,9.0,
10932,0.3911452581,_A,2004,24,25,RO,1,9,2,2,6,2004,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2000,99,2,2.0,4.0,24,24,,,97.0,1.0,40.0,1,1,9,99,9.0,9999,99,9,9,,1.0,0,0,0,1,1,1,0,0,0,0,0,0,0,9.0,1,2,9,2.0,999,1,9.0,0.0,M,48,,,9.0,9.0,05,9,9,9.0,9.0
10933,0.4997120631,_A,2004,14,15,RO,1,9,4,2,4,2004,1,1,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99,9,9.0,9.0,99,99,99.0,99.0,99.0,9.0,99.0,9,9,9,99,1.0,2004,2,5,4,2.0,1.0,1,0,1,0,1,0,1,0,0,0,0,0,0,9.0,1,2,9,2.0,999,2,1.0,0.0,H,999,2.0,9.0,9.0,,,9,9,9.0,
10960,0.2336304185,_A,2004,15,16,RO,1,9,3,2,4,2004,1,2,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99,9,9.0,9.0,99,99,99.0,99.0,99.0,9.0,99.0,9,9,9,99,0.0,9999,99,9,4,2.0,1.0,0,0,0,1,1,0,0,1,0,0,0,0,0,9.0,1,2,9,2.0,999,2,1.0,0.0,M,999,,9.0,9.0,9.0,03,9,9,9.0,9.0
